OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
205;"GABP-01-West";"Telcamera";"Eigen voeding via lichtnet";70;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/privacy-verkeersonderzoeken/";"POINT(4.8340607 52.3039931)";"POINT(52.3039931 4.8340607)";4.8340607;52.3039931
206;"GABP-02-Oost";"Telcamera";"Eigen voeding via lichtnet";290;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/privacy-verkeersonderzoeken/";"POINT(4.8383564 52.3033301)";"POINT(52.3033301 4.8383564)";4.8383564;52.3033301
207;"GWKP-01-MarnixpleinNoord";"Telcamera";"Eigen voeding via lichtnet";70;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8793344 52.3777535)";"POINT(52.3777535 4.8793344)";4.8793344;52.3777535
208;"GWKP-02-MarnixpleinZuid";"Telcamera";"Eigen voeding via lichtnet";70;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8793962 52.3776132)";"POINT(52.3776132 4.8793962)";4.8793962;52.3776132
209;"GWKP-03-NoordermarktZuid";"Telcamera";"Eigen voeding via lichtnet";255;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8862009 52.3788391)";"POINT(52.3788391 4.8862009)";4.8862009;52.3788391
210;"GWKP-04-NoordermarktNoord";"Telcamera";"Eigen voeding via lichtnet";255;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8861272 52.3789832)";"POINT(52.3789832 4.8861272)";4.8861272;52.3789832
211;"GACP-01";"Telcamera";"Eigen voeding via lichtnet";25;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8961038 52.3800003)";"POINT(52.3800003 4.8961038)";4.8961038;52.3800003
212;"GACP-02";"Telcamera";"Eigen voeding via lichtnet";25;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8981219 52.3791325)";"POINT(52.3791325 4.8981219)";4.8981219;52.3791325
213;"GACP-03";"Telcamera";"Eigen voeding via lichtnet";170;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.9098464 52.3772068)";"POINT(52.3772068 4.9098464)";4.9098464;52.3772068
214;"GASP-01-EduardVanBeinumstraat Oost";"Telcamera";"Eigen voeding via lichtnet";260;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8726111 52.3397038)";"POINT(52.3397038 4.8726111)";4.8726111;52.3397038
215;"GASP-02-MathijsVermeulenpad";"Telcamera";"Eigen voeding via lichtnet";260;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8763891 52.3398312)";"POINT(52.3398312 4.8763891)";4.8763891;52.3398312
216;"GASP-03-Spoorslag";"Telcamera";"Eigen voeding via lichtnet";90;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8745046 52.3383333)";"POINT(52.3383333 4.8745046)";4.8745046;52.3383333
217;"GASP-04-GMahlerplein";"Telcamera";"Eigen voeding via lichtnet";90;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8736731 52.3376802)";"POINT(52.3376802 4.8736731)";4.8736731;52.3376802
218;"GASP-05-EduardVanBeinumstraat West";"Telcamera";"Eigen voeding via lichtnet";80;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8696675 52.3396505)";"POINT(52.3396505 4.8696675)";4.8696675;52.3396505
219;"GASP-06-ClaudeDebussylaan";"Telcamera";"Eigen voeding via lichtnet";250;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8726994 52.3376204)";"POINT(52.3376204 4.8726994)";4.8726994;52.3376204
220;"GASP-07-ParnassuswegNoordOost";"Telcamera";"Eigen voeding via lichtnet";180;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/";"POINT(4.8688632 52.3394176)";"POINT(52.3394176 4.8688632)";4.8688632;52.3394176
